RA,Dec,Name,Kepler_ID,2MASS ID,Data Availability,Seasons on CCD,J,kepmag,Edge_Distance_0 (px),Channel_0,Module_0,Output_0,Row_0,Column_0,Channel_1,Module_1,Output_1,Row_1,Column_1,Channel_2,Module_2,Output_2,Row_2,Column_2,Channel_3,Module_3,Output_3,Row_3,Column_3
19 55 44.753,+40 23 30.30,HD_188891,5217733,19554475+4023303,2,,7.446,7.419,7.391,230,11,4,3,267,782,15,6,3,272,781,75,22,3,269,787,71,20,3,268
18 52 16.514,+43 42 35.68,HD_175226,7940546,18521651+4342356,2,,7.289,6.41,7.397,282,54,16,2,336,825,82,24,2,336,830,30,10,2,340,830,2,2,2,342
19 54 29.298,+47 54 49.69,BD+47_2949,10685353,19542928+4754495,2,4,4.81,7.401,161,51,15,3,399,946,7,3,3,397,942,35,11,3,402,942,79,23,3,403,946
19 19 33.686,+41 16 16.13,HD_181679,5954370,19193368+4116160,2,4,5.677,7.417,359,18,7,2,660,556,58,17,2,655,556,66,19,2,656,561,26,9,2,658,561
19 27 45.484,+47 32 12.96,HD_183507,10404994,19274548+4732129,2,4,5.859,7.421,335,66,19,2,381,681,26,9,2,384,681,18,7,2,386,676,58,17,2,380,675
18 57 03.048,+45 51 21.38,HD_176209,9327530,18570305+4551213,0,4,7.195,7.437,0,60,17,4,1041,341,68,19,4,1043,337,28,9,4,1038,337,20,7,4,1036,340
19 50 13.173,+48 23 29.68,HD_187919,10934370,19501316+4823295,2,4,5.356,7.478,248,51,15,3,769,264,7,3,3,767,260,35,11,3,773,260,79,23,3,773,264
18 49 39.645,+43 04 24.53,HD_174676,7420037,18493964+4304245,0,4,5.134,7.481,0,54,16,2,1031,642,82,24,2,1031,647,30,10,2,1035,647,2,2,2,1036,642
19 40 46.780,+46 23 07.67,HD_186176,9657639,19404676+4623077,2,4,5.912,7.493,39,48,14,4,325,1069,24,8,4,325,1073,40,12,4,329,1072,64,18,4,330,1069
18 51 50.991,+41 44 21.52,HD_175079,6342566,18515098+4144214,2,4,5.306,7.499,164,36,11,4,669,179,80,23,4,669,175,52,15,4,666,175,8,3,4,665,178
19 43 43.105,+51 04 00.59,HD_186727,12316020,19434310+5104006,0,4,4.495,7.499,241,71,20,3,447,258,11,4,3,445,253,15,6,3,451,252,75,22,3,448,258
19 49 18.135,+41 34 56.86,HD_187637,6225718,19491812+4134572,2,,7.531,6.544,7.501,134,9,4,1,429,974,13,6,1,425,974,73,22,1,424,970,69,20,1,429
20 01 46.719,+45 28 35.88,HD_190165,9117875,20014671+4528359,2,,7.503,6.895,7.512,255,31,10,3,373,852,3,2,3,374,847,55,16,3,377,848,83,24,3,380
18 59 00.919,+49 19 09.84,HD_176708,11443271,18590092+4919098,2,,7.554,7.189,7.524,435,79,23,3,592,633,51,15,3,587,634,7,3,3,586,630,35,11,3,591
18 51 11.993,+46 44 17.52,V540_Lyr,9874022,18511200+4644175,2,4,3.64,7.527,269,74,22,2,461,839,70,20,2,465,840,10,4,2,466,834,14,6,2,460,834
19 19 50.218,+43 33 22.59,HD_181778,7816792,19195023+4333226,0,4,5.824,7.545,189,43,13,3,230,649,44,13,4,622,259,41,13,1,226,651,42,13,2,618,257
20 01 14.413,+44 15 50.86,HD_190043,8328178,20011442+4415509,2,4,5.98,7.548,93,32,10,4,933,423,4,2,4,935,429,56,16,4,938,428,84,24,4,941,425
19 09 57.509,+49 40 50.99,HD_179420,11603064,19095751+4940509,2,4,5.842,7.557,85,77,23,1,883,100,49,15,1,887,100,5,3,1,887,104,33,11,1,885,104
19 03 05.842,+39 57 15.23,HD_177486,4818175,19030584+3957152,2,4,5.296,7.562,40,13,6,1,942,55,73,22,1,942,50,69,20,1,946,50,9,4,1,946,55
19 07 47.623,+38 55 41.59,HD_178661,3836439,19074762+3855416,2,,7.558,7.065,7.57,173,14,6,2,821,934,74,22,2,821,939,70,20,2,825,940,10,4,2,826
19 10 26.631,+42 36 04.86,HD_179394,7105221,19102663+4236049,0,1,7.603,7.575,,,,,,,,,,,,47,14,3,1045,812,,,,,
19 03 46.752,+49 37 58.62,HD_177828,11600717,19034675+4937586,2,,7.599,7.147,7.577,237,80,23,4,785,859,52,15,4,781,859,8,3,4,780,863,36,11,4,785
19 47 23.503,+42 28 58.94,HD_187277,6967644,19472350+4228589,0,2,7.073,7.579,,,,,,,,,,,,57,17,1,1042,54,65,19,1,1043,48
19 45 37.966,+44 57 49.36,HD_186994,8766240,19453796+4457493,0,4,7.775,7.585,53,27,9,3,285,69,19,7,3,283,65,59,17,3,288,65,67,19,3,291,68
